Hora: 00:35, Moeda: JPY, Evento: , Atual: Leilão JGB a 5 anos, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 03:00, Moeda: EUR, Evento: , Atual: Vendas no Varejo - Alemanha (Mensal) (Mai), Data: 10/10/2024, ImpactoTit: Moderada
Hora: 03:00, Moeda: EUR, Evento: , Atual: Vendas no Varejo - Alemanha (Anual) (Mai), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 03:01, Moeda: EUR, Evento: , Atual: Vendas no Varejo - Alemanha (Mensal) (Jun), Data: 10/10/2024, ImpactoTit: Moderada
Hora: 03:01, Moeda: EUR, Evento: , Atual: Vendas no Varejo - Alemanha (Anual) (Jun), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 03:02, Moeda: EUR, Evento: , Atual: Vendas no Varejo - Alemanha (Mensal) (Jul), Data: 10/10/2024, ImpactoTit: Moderada
Hora: 03:02, Moeda: EUR, Evento: , Atual: Vendas no Varejo - Alemanha (Anual) (Jul), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 03:03, Moeda: EUR, Evento: , Atual: Vendas no Varejo - Alemanha (Mensal) (Ago), Data: 10/10/2024, ImpactoTit: Moderada
Hora: 03:03, Moeda: EUR, Evento: , Atual: Vendas no Varejo - Alemanha (Anual) (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 05:00, Moeda: EUR, Evento: , Atual: Produção Industrial - Itália (Mensal) (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 05:00, Moeda: EUR, Evento: , Atual: Produção Industrial - Itália (Anual) (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 05:30, Moeda: GBP, Evento: , Atual: Pesquisa de Condições de Crédito do BoE, Data: 10/10/2024, ImpactoTit: Moderada
Hora: 06:30, Moeda: EUR, Evento: , Atual: Leilão Italiano BOT a 12 meses, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 06:30, Moeda: ZAR, Evento: , Atual: Produção de Ouro (Anual) (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 06:30, Moeda: ZAR, Evento: , Atual: Produção de Mineração (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: GBP, Evento: , Atual: PCSI da Thomson Reuters/IPSOS - Reino Unido (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: EUR, Evento: , Atual: PCSI da Thomson Reuters/IPSOS - Itália (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: EUR, Evento: , Atual: PCSI da Thomson Reuters/IPSOS - Alemanha (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: EUR, Evento: , Atual: PCSI da Thomson Reuters/IPSOS - França (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: EUR, Evento: , Atual: PCSI da Thomson Reuters/IPSOS (Mensal) (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: EUR, Evento: , Atual: IPC Portugal (Anual) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: EUR, Evento: , Atual: IPC - Portugal (Mensal) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: EUR, Evento: , Atual: Balança Comercial - Portugal (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 07:00, Moeda: ZAR, Evento: , Atual: PCSI da Thomson Reuters/IPSOS (Mensal) (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 08:00, Moeda: ZAR, Evento: , Atual: Produção Industrial (Anual) (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 08:00, Moeda: ZAR, Evento: , Atual: Produção Industrial (Mensal) (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 08:30, Moeda: EUR, Evento: , Atual: BCE Publica Atas da Reunião de Política Monetária, Data: 10/10/2024, ImpactoTit: Moderada
Hora: 09:00, Moeda: BRL, Evento: , Atual: Vendas no Varejo (Mensal) (Ago), Data: 10/10/2024, ImpactoTit: Alta
Hora: 09:00, Moeda: BRL, Evento: , Atual: Vendas no Varejo (Anual) (Ago), Data: 10/10/2024, ImpactoTit: Alta
Hora: 09:30, Moeda: USD, Evento: , Atual: Pedidos Contínuos por Seguro-Desemprego, Data: 10/10/2024, ImpactoTit: Moderada
Hora: 09:30, Moeda: USD, Evento: , Atual: IPC-núcleo (Mensal) (Set), Data: 10/10/2024, ImpactoTit: Alta
Hora: 09:30, Moeda: USD, Evento: , Atual: IPC-núcleo (Anual) (Set), Data: 10/10/2024, ImpactoTit: Moderada
Hora: 09:30, Moeda: USD, Evento: , Atual: IPC-núcleo (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 09:30, Moeda: USD, Evento: , Atual: IPC (Mensal) (Set), Data: 10/10/2024, ImpactoTit: Alta
Hora: 09:30, Moeda: USD, Evento: , Atual: IPC EUA (Anual) (Set), Data: 10/10/2024, ImpactoTit: Alta
Hora: 09:30, Moeda: USD, Evento: , Atual: IPC (sem ajuste sazonal) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 09:30, Moeda: USD, Evento: , Atual: IPC com Ajuste Sazonal (Set), Data: 10/10/2024, ImpactoTit: Baixa
